fact_id,text
fact_place_place_zurich_switzerland_industry_is_of_great_importance_in_zurich,Industry is of great importance in Zurich.
fact_place_place_oerlikon_zurich_switzerland_mechanical_engineering_is_found_in_oerlikon,Mechanical engineering is found in Oerlikon.
fact_place_place_albisrieden_zurich_switzerland_mechanical_engineering_is_found_in_albisrieden,Mechanical engineering is found in Albisrieden.
fact_place_place_altstetten_zurich_switzerland_mechanical_engineering_is_found_in_altstetten,Mechanical engineering is found in Altstetten.
fact_place_place_schlieren_zurich_switzerland_mechanical_engineering_is_found_in_schlieren,Mechanical engineering is found in Schlieren.
fact_place_place_schlieren_zurich_switzerland_there_is_a_wagon_factory_in_schlieren,There is a wagon factory in Schlieren.
fact_place_place_dietikon_zurich_switzerland_cotton_industry_is_found_in_dietikon,Cotton industry is found in Dietikon.
fact_place_place_zurich_switzerland_the_large_railway_junction_zurich_dominates_the_traffic_lines_of_the_district,The large railway junction Zurich dominates the traffic lines of the district.
fact_place_place_chur_switzerland_the_lakeside_railways_along_the_lake_mediate_traffic_with_chur,The lakeside railways along the lake mediate traffic with Chur.
fact_place_place_arlberg_austria_the_lakeside_railways_along_the_lake_mediate_traffic_with_the_arlberg,The lakeside railways along the lake mediate traffic with the Arlberg.
fact_place_place_baden_switzerland_the_line_to_baden_leads_to_western_switzerland_and_basel,The line to Baden leads to western Switzerland and Basel.
fact_place_place_basel_switzerland_the_line_to_baden_leads_to_western_switzerland_and_basel,The line to Baden leads to western Switzerland and Basel.
fact_place_place_affoltern_zug_a_branch_line_goes_to_affoltern_zug,A branch line goes to Affoltern-Zug.
fact_place_place_schaffhausen_switzerland_through_the_northern_ridge_run_in_a_common_tunnel_the_lines_to_schaffhausen,"Through the northern ridge run, in a common tunnel, the lines to Schaffhausen."
fact_place_place_romanshorn_switzerland_through_the_northern_ridge_run_in_a_common_tunnel_the_lines_to_romanshorn,"Through the northern ridge run, in a common tunnel, the lines to Romanshorn."
fact_place_place_st_gallen_switzerland_through_the_northern_ridge_run_in_a_common_tunnel_the_lines_to_st_gallen,"Through the northern ridge run, in a common tunnel, the lines to St. Gallen."
fact_place_place_glatt_valley_through_the_northern_ridge_run_in_a_common_tunnel_the_lines_into_the_glatt_valley,"Through the northern ridge run, in a common tunnel, the lines into the Glatt valley."
fact_place_place_sihl_valley_railway_secondary_lines_include_the_sihl_valley_railway,Secondary lines include the Sihl Valley Railway.
fact_place_place_limmat_valley_tramway_secondary_lines_include_the_limmat_valley_tramway_with_branch_to_weiningen,Secondary lines include the Limmat Valley tramway with branch to Weiningen.
fact_place_place_weiningen_switzerland_the_limmat_valley_tramway_has_a_branch_to_weiningen,The Limmat Valley tramway has a branch to Weiningen.
fact_place_place_zurich_hoengg_secondary_lines_include_the_tram_lines_zurich_hoengg,Secondary lines include the tram lines Zurich-Hoengg.
fact_place_place_zurich_oerlikon_seebach_secondary_lines_include_the_tram_lines_zurich_oerlikon_seebach,Secondary lines include the tram lines Zurich-Oerlikon-Seebach.
fact_place_place_uetliberg_zurich_switzerland_there_is_an_adhesion_railway_to_the_uetliberg,There is an adhesion railway to the Uetliberg.
fact_place_place_zurich_switzerland_municipality_and_capital_of_the_canton_and_district_of_zurich,Municipality and capital of the canton and district of Zurich.
fact_place_place_zurich_switzerland_largest_city_of_switzerland,Largest city of Switzerland.
fact_place_place_zurich_switzerland_the_federal_observatory_is_located_on_the_zurichberg,The federal observatory is located on the Zurichberg.
fact_place_place_zurich_switzerland_the_altitude_of_the_observatory_is_470_m,The altitude of the observatory is 470 m.
fact_place_place_zurich_switzerland_the_city_area_extends_westward_to_the_ridge_of_the_uetliberg,The city area extends westward to the ridge of the Uetliberg.
fact_place_place_zurich_switzerland_the_summit_signal_of_the_uetliberg_lies_on_the_city_boundary_at_874_m_above_sea_level,The summit signal of the Uetliberg lies on the city boundary at 874 m above sea level.
fact_place_place_zurichberg_zurich_switzerland_the_federal_observatory_is_located_on_the_zurichberg,The federal observatory is located on the Zurichberg.
fact_place_place_zurichberg_zurich_switzerland_the_geographical_coordinates_of_the_federal_observatory_are_47_22_38_n_latitude_and_8_33_3_9_e_longitude_from_greenwich,"The geographical coordinates of the federal observatory are 47° 22' 38"" N latitude and 8° 33' 3.9"" E longitude from Greenwich."
fact_place_place_zurichberg_zurich_switzerland_the_altitude_of_the_observatory_is_470_m,The altitude of the observatory is 470 m.
fact_place_place_limmat_switzerland_the_limmat_descends_to_level_400_m_before_hoengg_over_a_distance_of_6_km_within_the_city_area,The Limmat descends to level 400 m before Hoengg over a distance of 6 km within the city area.
fact_place_place_limmat_switzerland_the_average_gradient_of_the_limmat_in_the_city_area_is_1_5,The average gradient of the Limmat in the city area is 1.5‰.
fact_place_place_uetliberg_zurich_switzerland_the_city_area_extends_westward_to_the_ridge_of_the_uetliberg,The city area extends westward to the ridge of the Uetliberg.
fact_place_place_uetliberg_zurich_switzerland_the_summit_signal_of_the_uetliberg_lies_on_the_city_boundary_at_874_m_above_sea_level,The summit signal of the Uetliberg lies on the city boundary at 874 m above sea level.
fact_date_date_1908_1908_1908_the_magnetic_declination_in_1908_was_11½_w,The magnetic declination in 1908 was 11½° W.
fact_place_place_baldern_zurich_switzerland_the_boundary_follows_the_ridge_to_the_baldern,The boundary follows the ridge to the Baldern.
fact_place_place_leimbach_zurich_switzerland_the_boundary_includes_the_former_municipality_of_leimbach_to_the_sihl,The boundary includes the former municipality of Leimbach to the Sihl.
fact_place_place_sihl_river_zurich_switzerland_the_boundary_includes_the_former_municipality_of_leimbach_to_the_sihl,The boundary includes the former municipality of Leimbach to the Sihl.
fact_place_place_etlisberg_zurich_switzerland_the_boundary_is_south_of_the_etlisberg_between_wollishofen_and_mönchhof_to_the_lake,The boundary is south of the Etlisberg between Wollishofen and Mönchhof to the lake.
fact_place_place_wollishofen_zurich_switzerland_the_boundary_is_south_of_the_etlisberg_between_wollishofen_and_mönchhof_to_the_lake,The boundary is south of the Etlisberg between Wollishofen and Mönchhof to the lake.
fact_place_place_mönchhof_the_boundary_is_south_of_the_etlisberg_between_wollishofen_and_mönchhof_to_the_lake,The boundary is south of the Etlisberg between Wollishofen and Mönchhof to the lake.
fact_place_place_lake_zurich_switzerland_the_boundary_reaches_the_lake_south_of_the_etlisberg_between_wollishofen_and_mönchhof,The boundary reaches the lake south of the Etlisberg between Wollishofen and Mönchhof.
fact_place_place_burghölzli_psychiatric_hospital_zurich_switzerland_on_the_right_bank_the_boundary_runs_south_of_the_burghölzli_psychiatric_hospital_up_to_the_realp,"On the right bank, the boundary runs south of the Burghölzli psychiatric hospital up to the Realp."
fact_place_place_realp_the_boundary_runs_south_of_the_burghölzli_psychiatric_hospital_up_to_the_realp,The boundary runs south of the Burghölzli psychiatric hospital up to the Realp.
fact_place_place_wehrenbach_zurich_switzerland_the_boundary_crosses_the_wehrenbach,The boundary crosses the Wehrenbach.
fact_place_place_elefantenbach_zurich_switzerland_the_boundary_follows_the_middle_course_of_the_elefantenbach_for_a_short_distance,The boundary follows the middle course of the Elefantenbach for a short distance.
fact_place_place_loorenkopf_zurich_switzerland_the_boundary_encircles_the_loorenkopf,The boundary encircles the Loorenkopf.
fact_place_place_glatt_valley_zurich_switzerland_the_boundary_runs_in_a_fairly_regular_direction_from_se_to_nw_on_the_glatt_valley_side_of_the_zurichberg,The boundary runs in a fairly regular direction from SE to NW on the Glatt valley side of the Zurichberg.
fact_place_place_zurichberg_zurich_switzerland_the_boundary_runs_on_the_glatt_valley_side_of_the_zurichberg,The boundary runs on the Glatt valley side of the Zurichberg.
fact_place_place_käferberg_zurich_switzerland_the_boundary_reaches_the_northern_slope_of_the_käferberg_via_the_saddle_of_the_milchbuck,The boundary reaches the northern slope of the Käferberg via the saddle of the Milchbuck.
fact_place_place_milchbuck_zurich_switzerland_the_boundary_reaches_the_northern_slope_of_the_käferberg_via_the_saddle_of_the_milchbuck,The boundary reaches the northern slope of the Käferberg via the saddle of the Milchbuck.
fact_place_place_hardturm_at_hardturm_it_touches_the_limmat,At Hardturm it touches the Limmat.
fact_place_place_limmat_switzerland_the_limmat_forms_the_municipal_boundary_up_to_below_the_hoengger_bridge,The Limmat forms the municipal boundary up to below the Hoengger bridge.
fact_place_place_hoengger_bridge_the_municipal_boundary_extends_up_to_below_the_hoengger_bridge,The municipal boundary extends up to below the Hoengger bridge.
fact_place_place_triemli_the_triemli_is_circumvented_to_the_southeast,The Triemli is circumvented to the southeast.
fact_place_place_döltschi_from_the_döltschi_the_line_rises_again_at_the_uto,"From the Döltschi, the line rises again at the Uto."
fact_place_place_uto_from_the_döltschi_the_line_rises_again_at_the_uto,"From the Döltschi, the line rises again at the Uto."
fact_place_place_hotel_uetliberg_the_line_encloses_northeast_past_the_hotel_uetliberg_to_the_summit_signal,The line encloses northeast past the Hotel Uetliberg to the summit signal.
fact_place_place_uetliberg_zurich_switzerland_the_area_rises_with_both_edges_to_the_summit_heights_of_the_uetliberg_in_the_west,The area rises with both edges to the summit heights of the Uetliberg in the west.
fact_place_place_zurichberg_zurich_switzerland_the_area_rises_with_both_edges_to_the_summit_heights_of_the_zurichberg_in_the_east,The area rises with both edges to the summit heights of the Zurichberg in the east.
fact_place_place_käferberg_zurich_switzerland_the_area_rises_with_both_edges_to_the_summit_heights_of_the_käferberg_in_the_east,The area rises with both edges to the summit heights of the Käferberg in the east.
