START_ID,END_ID,TYPE
date_1908_1908_1908,fact_date_date_1908_1908_1908_the_magnetic_declination_in_1908_was_11½_w,HAS_FACT
date_1893_1893_1893,fact_date_date_1893_1893_1893_the_outer_municipalities_were_united_with_the_old_town_of_zurich_since_1893,HAS_FACT
date_1882_83_1882_1883,fact_date_date_1882_83_1882_1883_the_quaibrücke_was_built_in_1882_83_from_coarse_black_forest_granite,HAS_FACT
date_1885_1885_1885,fact_date_date_1885_1885_1885_the_zwingli_monument_was_built_in_1885,HAS_FACT
date_1519_1531_1519_1531,fact_date_date_1519_1531_1519_1531_zwingli_s_activity_at_the_grossmünster_took_place_from_1519_to_1531,HAS_FACT
date_1078_1078_1078,fact_date_date_1078_1078_1078_the_grossmünster_was_built_in_romanesque_style_in_1078_on_the_site_of_an_older_burnt_church,HAS_FACT
date_1400_1400_1400,fact_date_date_1400_1400_1400_the_large_town_hall_was_wooden_at_least_toward_the_small_left_bank_city_in_1400,HAS_FACT
date_1502_1502_1502,fact_date_date_1502_1502_1502_the_large_town_hall_was_wooden_until_1502,HAS_FACT
date_1504_1504_1504,fact_date_date_1504_1504_1504_in_1504_the_town_hall_received_glass_windows_previously_only_covered_with_cloth,HAS_FACT
date_1694_1694_1694,fact_date_date_1694_1694_1694_the_previous_town_hall_building_was_demolished_in_1694,HAS_FACT
date_1846_1846_1846,fact_date_date_1846_1846_1846_meyer_von_knonau_wrote_about_the_tribune_for_the_listeners_in_1846,HAS_FACT
date_853_853_853,fact_date_date_853_853_853_the_fraumünster_church_was_founded_by_ludwig_the_german_in_853,HAS_FACT
date_mid_16th_century_1550_1560,fact_date_date_mid_16th_century_1550_1560_until_about_the_mid_16th_century_the_clock_faces_of_st_peter_s_church_were_the_only_public_clock_in_zurich,HAS_FACT
date_1838_1838_1838,fact_date_date_1838_1838_1838_the_münsterbrücke_was_inaugurated_in_1838,HAS_FACT
date_1892_98_1892_1898,fact_date_date_1892_98_1892_1898_the_swiss_national_museum_was_built_from_1892_to_1898,HAS_FACT
date_1489_1489_1489,fact_date_date_1489_1489_1489_three_gothic_rooms_from_fraumünster_abbey_zurich_date_from_1489,HAS_FACT
date_1507_1507_1507,fact_date_date_1507_1507_1507_three_gothic_rooms_from_fraumünster_abbey_zurich_date_from_1507,HAS_FACT
date_1891_1891_1891,fact_date_date_1891_1891_1891_the_national_museum_was_founded_in_1891_by_the_confederation,HAS_FACT
date_june_25_1898_1898_1898,fact_date_date_june_25_1898_1898_1898_the_national_museum_was_solemnly_inaugurated_on_june_25_1898,HAS_FACT
date_1889_1889_1889,fact_date_date_1889_1889_1889_the_statue_of_alfred_escher_by_richard_kisling_was_erected_in_place_of_a_tall_fountain_in_1889,HAS_FACT
date_1877_80_1877_1880,fact_date_date_1877_80_1877_1880_the_stock_exchange_was_built_by_the_zurich_trade_society_from_1877_to_1880,HAS_FACT
date_1881_1881_1881,fact_date_date_1881_1881_1881_the_decision_to_create_the_parklands_along_the_alpenquai_was_made_in_1881,HAS_FACT
date_1887_1887_1887,fact_date_date_1887_1887_1887_the_parklands_along_the_alpenquai_were_inaugurated_in_1887,HAS_FACT
date_1895_1895_1895,fact_date_date_1895_1895_1895_the_zurich_trocadero_was_built_in_1895_by_viennese_architects_fellner_and_helmer,HAS_FACT
date_1901_1901_1901,fact_date_date_1901_1901_1901_st_jakob_s_church_was_built_in_1901,HAS_FACT
date_1855_1855_1855,fact_date_date_1855_1855_1855_the_swiss_federal_polytechnic_school_was_founded_in_1855,HAS_FACT
date_1861_64_1861_1864,fact_date_date_1861_64_1861_1864_the_main_building_was_built_according_to_plans_by_gottfried_semper_from_1861_to_1864,HAS_FACT
date_1864_1864_1864,fact_date_date_1864_1864_1864_the_main_building_has_been_fully_operational_since_1864,HAS_FACT
date_1899_1900_1899_1900,fact_date_date_1899_1900_1899_1900_the_federal_machine_laboratory_was_built_in_1899_1900,HAS_FACT
date_1899_1900_1899_1900,fact_date_date_1899_1900_1899_1900_the_laboratory_of_the_cantonal_chemist_and_dental_polyclinic_was_built_in_1899_1900,HAS_FACT
date_1886_1886_1886,fact_date_date_1886_1886_1886_the_federal_chemical_laboratories_were_occupied_in_1886,HAS_FACT
date_1874_1874_1874,fact_date_date_1874_1874_1874_the_agricultural_and_forestry_school_was_established_in_1874,HAS_FACT
