block_id,doc_id,block_type,content
Zurich_en_b1,Zurich_en,text,The livestock censuses yielded the following results:
Zurich_en_b2,Zurich_en,text,"Besides arable and garden cultivation and livestock breeding, industry is of great importance. Apart from the city of Zurich (see this article), for example, we find mechanical engineering in Oerlikon, Albisrieden, Altstetten, Schlieren; a wagon factory in Schlieren, cotton industry in Dietikon, etc."
Zurich_en_b3,Zurich_en,text,"The large railway junction Zurich dominates the traffic lines of the district. According to the natural terrain shape, we have the two lakeside railways along the lake, which mediate traffic with Chur and with the Arlberg; then the line to Baden, which leads to western Switzerland and Basel. A branch line goes to Affoltern-Zug. Through the northern ridge run, in a common tunnel, the lines to Schaffhausen, Romanshorn and St. Gallen and into the Glatt valley. Secondary lines are the Sihl Valley Railway, the Limmat Valley tramway with branch to Weiningen, the tram lines Zurich-Hoengg, Zurich-Oerlikon-Seebach, and the adhesion railway to the Uetliberg."
Zurich_en_b4,Zurich_en,text,District Zurich.
Zurich_en_b5,Zurich_en,heading,Zurich (Canton and District Zurich).
Zurich_en_b6,Zurich_en,heading,1. Location and Extension.
Zurich_en_b7,Zurich_en,text,"Municipality and capital of the canton and district of Zurich, largest city of Switzerland. The geographical coordinates of the federal observatory on the Zurichberg (according to a kind communication from the observatory) are: 47° 22' 38"" N latitude and 8° 33' 3.9"" E longitude from Greenwich. The magnetic declination in 1908 was 11½° W. The altitude is 470 m for the observatory, and for the lake level an average of 408.6 m. The Limmat descends to level 400 m (before Hoengg) over a distance of 6 km within the city area, i.e. an average gradient of 1.5‰. The city area extends westward to the ridge of the Uetliberg, whose summit signal lies on the city boundary at 874 m above sea level."
Zurich_en_b8,Zurich_en,text,"To the south, the boundary follows the ridge to the Baldern, then descends including the former municipality of Leimbach to the Sihl and south of the Etlisberg between Wollishofen and Mönchhof to the lake. On the right bank, it runs south of the Burghölzli psychiatric hospital up to the Realp, crosses the Wehrenbach, follows the middle course of the Elefantenbach for a short distance, encircles the Loorenkopf, and from there in a fairly regular direction from SE to NW on the Glatt valley side of the Zurichberg and reaches the northern slope of the Käferberg via the saddle of the Milchbuck."
Zurich_en_b9,Zurich_en,text,"At Hardturm it touches the Limmat, which forms the municipal boundary up to below the Hoengger bridge. From there, irregular ditches in the wide Limmat valley are used as boundaries. The Triemli is circumvented to the southeast. From the Döltschi, the line rises again at the Uto and encloses, following its eastern ramp, northeast past the Hotel Uetliberg to the summit signal. Thus, the area of the city of Zurich united with its outer municipalities forms a horseshoe shape on the map around the lower lake basin and rises with both edges to the summit heights of the Uetliberg in the west, the Zurichberg, and Käferberg in the east. The area is 44.17 km^2."
Zurich_en_b10,Zurich_en,text,"The city area consists of the actual former Zurich in the center and a wreath of outer municipalities which have been united with the old town since 1893, namely: Wollishofen, Enge, Wiedikon, Aussersihl, Wipkingen, Unterstrass, Oberstrass, Fluntern, Hottingen, Hirslanden, and Riesbach. Thus, Zurich is the largest community in Switzerland."
Zurich_en_b11,Zurich_en,text,"Whoever visits Zurich for the first time should approach the city slowly by ship downstream on a mild summer evening. Lovely shores with decent villages accompany him on the left and right. Rich country houses thrust their oriels and turrets out of well-maintained gardens. The green pastures with the elongated evening shadows of the fruit trees on the left bank, the earthy, vitriol blue-spotted vineyards on the right bank become thinner and thinner. Residences succeed each other. We pass the bushy Zurichhorn, where the Hornbach has formed a wide, densely settled delta in the lake. The lake becomes narrower. On both sides, artificially reclaimed settlement areas stretch out. Above them rise on the left the venerable Belvoirpark and the rich villa quarters on the moraine hills of Enge; on the right the Zurichberg, a single airy garden city from the Hirslanderberg down to the Rigiquartier."
Zurich_en_b12,Zurich_en,text,Zurich as seen from the lake.
Zurich_en_b13,Zurich_en,text,"The lake still gleams. Black-blue dark mixed forest, interspersed with dark yews, rises beyond the Sihl to the straight Uetliberg ridge, whose bare sandstone emerges here and there in hollow niches. Comfortable inns greet from the summit. The last golden rays of the evening sun flee up over the Zurichberg. Sharp-profiled the two Grossmünster towers, the slender Fraumünster spire and the Viennese delicate new Tonhalle block the way."
Zurich_en_b14,Zurich_en,text,"On the left are the Red and White Castles, the Rentenanstalt and ""Unfall Zürich"", on the right the city theatre and Uto castle, all built on former lake ground as if the old pile dwellings had risen again. In the depths the Limmat flows under the arches of the monumental Quaibrücke, and the St. Peter's tower with the large clock completes the characteristic silhouette symbolically as a sign of time. The joyful splashing of the baths gradually dies down. One light after another appears up the mountain slope in the jumble of houses. Evening star and spotlights from the Uto and the original Urania tower, or from the Tonhalle, squint at each other over the city, and as if by magic, a dazzling diadem lies on the forehead of the picture at the lakeside edge: banks and bridges have donned their light wreaths, so that the city is a beacon to the land even at night."
Zurich_en_b15,Zurich_en,text,"Thus, the picture gathers from both lake shores. As the lake is the outlet of the river, so is the human settlement concentrated at this point, where a ring of low glacial debris hills had to dam water and traffic."
Zurich_en_b16,Zurich_en,text,"The location for a larger settlement is thus given by nature: over the lake upwards and down the valley, traffic was facilitated by water; the lake itself, which can easily be blocked at the outlet, served simultaneously as a defense, and the moraine ridge was used to form an inner line of defense, while the higher mountains east and west form outer protective walls."
Zurich_en_b17,Zurich_en,text,"Once a settlement existed here, it had to become the destination for trade routes leading over the central and eastern Swiss Alps, while northern traffic routes from the Rhine merged here: Zurich became the depot for goods mediation between Italy and Germany. Its own industry, developed early, expansively made use of this favorable situation. It is indicative that the first Swiss railway ran from Zurich."
Zurich_en_b18,Zurich_en,text,"This ""Spanish Brötli Bahn"" to Baden was soon followed by other main lines. Today, Zurich is the hub of railway lines from Schaffhausen, from Winterthur and thereby from Romanshorn-Frauenfeld, Singen-Etzwilen and St. Gallen, from the Glatt valley, from the right and left lake shores (traffic from the Glarus region and from the canton of Graubünden, from the Arlberg, as well as Wädenswil-Einsiedeln and soon Ricken-Toggenburg), from Lucerne-Zug (Gotthard) and from Basel-Brugg and western Switzerland-Aarau-Brugg; not to mention numerous more local lines and ferry connections by steamship. All this has contributed to the present high significance of our largest Swiss city, one factor conditioning or promoting the other, like electricity and magnetism in the mechanism of a modern power machine."
Zurich_en_b19,Zurich_en,heading,2. Topographical Description.
Zurich_en_b20,Zurich_en,text,Historical map of the city of Zurich
Zurich_en_b21,Zurich_en,text,"In the city map or the view from the heights of the Uetliberg, the hilly, angular old town with its dark, age-gray sandstone houses and blackened tile ridges distinctly separates from the wide-meshed, regulated street grid of the outer zone, whose blocks gradually dissolve uphill on both sides of the lake and Limmat into healthy villa quarters with open development. The angular shape of the Schanzengraben still betrays the extent of the former ""small city"" on the left Limmat bank, while Seilergraben-Hirschengraben enclose the ""large"" (right bank) city uphill. Within this old fortress framework, we want to begin our walk through the city. A ship took us to the landing stage at Bürkliplatz, formerly called Stadthausplatz. What beautiful parks lie to the left towards Enge and before us towards Bahnhofstrasse! We cross the Quaibrücke. Built in 1882/83 from coarse Black Forest granite, it bridges the Limmat's outflow from the lake with a length of 165 m."
Zurich_en_b22,Zurich_en,text,"From here, in clear, especially föhn weather, one enjoys a magnificent view of lake and mountains. To the left, behind the pointed church tower of Zollikon, rises the magnificent layered mass of the Glärnisch with the Vrenelisgärtli and the Bächistock behind the great firn shoulder. To the right follows the limestone block of the Faulen, in the front scene the obliquely striped Drusberg in the upper Sihl valley, then Bifertenstock, Tödi, Klariden, Scheerhorn, the elegant firn pyramid of the Düssistock; in the mid-ground, often standing out in dark blue-gray, the Mythen, further right behind the mighty Windgällen wall with the porphyry summit of the Kleinen Windgälle below to the right, and over the gap of Kaiserstock and Rossberg rising the ridge-rich Bristenstock."
Zurich_en_b23,Zurich_en,text,"The firn wreath extends to the western Urnäsch (Urirotstock, Schlossstock, and Wissig), before which the wooded molasse mountains of the Hohen Ronen and Gottschalkenberg and the Sihlwald on the Albis slope, as well as the low moraine ridge of the Zimmerberg up towards Hütten and Schindellegi, appear spread out like a green carpet, speckled lakewards with sunlit villages. Elegant church towers rise next to schools, and along the lake, numerous factory chimneys testify to rich industrial activity. Steam locomotives smoke on both shores, and small steamboats hustle busily back and forth, drawing garland lines along the shores: an unforgettable, incomparably beautiful picture, mixed from majestic alpine tranquility, lovely rural life, and bustling traffic—separated and yet connected by the wide blue lake surface."
Zurich_en_b24,Zurich_en,text,"Let us turn from the Quaibrücke downstream of the old town toward the Limmat. Across the former ferry landing square, now widened into a splendid quay, we reach the 1885 built Zwingli monument, a high bronze statue of the great reformer, framed by dark groups of trees, in front of the old Wasserkirche, in which the city library is now housed. To the north, the Helmhaus adjoins. From the Münsterbrücke offers a characteristic city view: to the right, elevated, the Grossmünster with its two Gothic towers—formerly ending in pointed spires, now crowned with wooden domes. It is the church of the former collegiate chapter, the place of Zwingli’s activity 1519–1531, built in Romanesque style in 1078 on the site of an older burnt church. On the southern tower, high up in a niche, sits, carved in stone, Emperor Charlemagne with the sword on his knees and a golden crown on his head. In the noteworthy cloister (upper daughters' school) stands a fountain with the statue of the emperor in sandstone."
Zurich_en_b25,Zurich_en,text,"Down the Limmatquai, some guild houses follow, then the venerable town hall, built over the Limmat. It is the third building on this site. The first was entirely wooden, the large (1400) at least toward the small (left bank) city wooden until 1502; in 1504 it received glass windows, previously only covered with cloth, and was demolished in 1694. Today's building is in noble German renaissance style. In the vestibule is a bust of the poet and Zurich state scribe Gottfried Keller. On the upper floor is the cantonal council chamber, also used as the session room by the great city council."
Zurich_en_b26,Zurich_en,text,Zurich: Utoquai.
Zurich_en_b27,Zurich_en,text,"“The tribune for the listeners is well arranged,” wrote Meyer von Knonau in 1846, “but it would be somewhat cramped if always important matters were discussed and speakers of the first rank appeared.” From the town hall, the wide Gemüsebrücke with its blue-shaded market stalls leads the eye across to the green hill of Lindenhof with the Freemason lodge and the tower of St. Peter's Church with the mighty clock faces (until about the mid-16th century the only public clock in Zurich), down over the narrow-windowed, narrow and tall houses of the Schipfe and back at the Wühre past the richly Baroque-built guild house “zur Meise,” which represents bourgeois nobility in sandstone with its wrought-iron courtyard gate. Upward on the left bank follows the slenderly turreted Fraumünster church, founded by Ludwig the German in 853, with Hans Waldmann's tomb. Attached to it and tastefully connected with the old cloister (architect Gull) is the friendly town hall, the central office of municipal administration, and the federal post office. All these buildings are constructed from molasse sandstone from the Bäch and Bollingen quarries, whose dark weathering color gives the otherwise lovely cityscape a slightly melancholic touch. Comfortingly towering above the narrower cityscape is the new Prediger tower and the simple basilica of the Roman Catholic Liebfrauenkirche with its bluntly squared campanile of dazzling white tuff limestone. The Limmat is framed by the industrial buildings on piles of the two mill piers, and an almost comical note is added by the Urania tower with a cupola, which extends into a round gallery, housing the public observatory tower."
Zurich_en_b28,Zurich_en,text,"The Münsterbrücke, from which we gained this view of the old town, was inaugurated in 1838. It spans the river with four gently arched arches. “The vaults and cladding are made of black marble from the Wallenstadtsee quarries, the main cornice from white-bleached Gotthard granite, taken near Mellingen from massive erratic blocks lying there... This beautiful building was commissioned by the Zurich merchants under the direction of engineer Negrelli, constructed by Konrad Stadler and two other Zurich architects."""
Zurich_en_b29,Zurich_en,text,Zurich: Lower Limmatquai.
Zurich_en_b30,Zurich_en,text,"We follow the quay past the cheerful swan colony and “under the arches” to the town hall, then climb opposite the Fleischhalle and Gemüsebrücke up the Marktgasse. It is incomprehensible that this narrow passage once had to be the main traffic channel through which posts from eastern Switzerland rolled towards western Switzerland via Zurich. Soon we turn left, past the tall guild house zur Schmieden and the Rindermarkt to the Stüssihofstatt. There it looks medieval: narrow, angular alleys, sloping squares. Knight Stüssi gravely surveys the narrow area from the fountain. Through the hustle and bustle of the Niederdorf, throwing furtive glances into shady side alleys, we reach Leonhardplatz and the Bahnhofbrücke. Here is heavy traffic. Several tram lines converge here, and the bridge can hardly handle the flow of vehicles and pedestrians at times."
Zurich_en_b31,Zurich_en,text,"In the angle between the Limmat and Sihl lies the main station built as a terminal station, a pretty complex of the former Northeastern Railway Company, with allegorical figures above the middle building representing art, science, commerce, and industry. The spacious passenger hall long counted as one of the largest and most beautiful in the world, and the sumptuous waiting rooms were especially highlighted by travel guides. Today, these have been architecturally surpassed, but tight order and cleanliness in Zurich station, especially on busy holidays, impress."
Zurich_en_b32,Zurich_en,text,Zurich: Bahnhofplatz towards the Polytechnic.
Zurich_en_b33,Zurich_en,text,"In the plaza promenade behind the station stands the Swiss National Museum, built by the city of Zurich from 1892–98 according to plans by architect Gull, an excellent example of the integration of architecture (medieval style) with the complex requirements of the individual museum departments. Especially famous are Ferdinand Keller's pile dwelling finds previously kept in the Helmhaus and the weapons hall with Hodler's mural (Swiss retreat from the battle of Marignano)."
Zurich_en_b34,Zurich_en,text,"Further, numerous original rooms, including three Gothic ones from the Fraumünster Abbey Zurich from 1489 and 1507, the treasury with coin cabinet in the basement, a large porcelain collection, etc. The National Museum was founded in 1891 by the Confederation and solemnly inaugurated on June 25, 1898. In the lovely layouts before the confluence of the Limmat and Sihl, simple monuments to the Minnesinger Hadlaub, the idyll poet Gessner, and Wilhelm Baumgartner, the creator of the incomparable singing style for Gottfried Keller’s ""Oh my homeland,"" delight us."
Zurich_en_b35,Zurich_en,text,"In front of the station, we admire the large monumental fountain of red granite with the statue of Alfred Escher by Richard Kisling, erected in place of a tall fountain in 1889, and now turn to Bahnhofstrasse. What a contrast to the narrow, high-gabled alleys of the right bank! Its lime tree avenue spreads out with beneficial breadth, twice bending left at a blunt angle towards Paradeplatz and to the lake. It skirts the moraine hill quarter of Oetenbach (formerly prison buildings, built from the remains of the old Oetenbach monastery, now demolished and artificially cut through at Uraniastrasse), Rennweg, Lindenhof, Strohhof and leaves the isolated glacial debris hills of St. Anna and the Katz (botanical garden) on the right. It begins with beautiful hotel buildings in French architecture at the station; it follows the Linth Escher school in a pretty park setting; in front the Pestalozzi memorial. Then large-scale, modern shops and department stores, window display after window display, at the top the large blocks of the central and Kappelerhof and the stock exchange built by the Zurich trade society from 1877–80. Noteworthy are also the buildings of the large banking institutions: Swiss Bank Association and Swiss Credit Institution at Paradeplatz, Bank Leu and Zurich Cantonal Bank, as well as the federal bank and Swiss People's Bank on Bahnhofstrasse, some with richly furnished vestibule rooms, especially the Swiss Bank Association (colossal statue symbolizing trade, by Richard Kisling). A look is still cast into the old, angular Augustinergasse with its cozy oriels."
Zurich_en_b36,Zurich_en,text,"Then the lake draws us again, and we walk out on the Alpenquai through splendid parklands, which were decided in 1881 and inaugurated in 1887. Pleasant perspectives open between bushes and groups of trees over well-kept lawns and rich flower beds. A cleverly assembled arboretum of native and exotic trees is spread over artificial hills and valleys. Erratic blocks of the old Linth glacier, red fieldstones from the Walensee area, Speer nail conglomerate, chalk and Jurassic limestones from Glärnisch alternate in colorful order, with gentians, alpine roses bushes and heathland herbs peeking out as if by chance."
Zurich_en_b37,Zurich_en,text,"The quay is essentially the work of quay engineer A. Bürkli, for whom a tasteful monument has been erected. The city is also indebted to geologist Albert Heim for ensuring through his efforts that the natural moraine character of the city topography is preserved even in this artificial landscape. A pretty background is formed by the new Tonhalle, the Zurich Trocadero, built by the Viennese architects Fellner and Helmer in 1895, the “Red Castle,” Palais Henneberg with marble frieze, the “White Castle” of Savonnières limestone and the building of the Swiss pension institution of colorful limestone. The public Belvoirpark, once the property of the Zurich statesman Alfred Escher, the champion of the Gotthard railway, makes the end. From his daughter Dr. Lydia Welti-Escher, the magnificent estate was bequeathed to the Confederation, later purchased by a society, and later largely handed over to the city as property."
Zurich_en_b38,Zurich_en,text,"From Belvoirpark, we ascend over the Gabler to Bürgli to the picturesque church of Enge, enjoy the lovely view over city and lake and the nearby expensive noble villa quarter of Enge, and then cross the outer moraine parallel ridge beyond Waffenplatzstrasse to the Sihl. Often it can be crossed almost dry-footed, but quite often it rolls meter-deep murky waves between Zimmerberg and Albiskette over the commons (the federal weapons place) of the city and its original bed, the present-day Limmat. At the Uto bridge, the path branches off to the Uetliberg, past the Albisgütli shooting house, where shooting festivals and the boys' shooting competition are held."
Zurich_en_b39,Zurich_en,text,"Then the surroundings come alive with a joyful, noisy fairground, crowds sway up and down like at the Theresienwiese at the Munich Oktoberfest. In old Albisgütli there used to be “donkeys and horses with guides” ready for visitors of the mountain before the Uetliberg railway was built. Several large brick and brickworks mark, lined up in front of large clay pits at the foot of the Uetliberg, the outskirts of the industrial city district, which we now want to get to know more closely."
Zurich_en_b40,Zurich_en,text,"Along the Sihl downstream, wedged between the Sihl and the Sihl canal, we reach the Sihlhölzli, the former shooting ground, now playground and ice skating rink. On the left above, the mighty Bühl schools and the pretty new church of Wiedikon dominate on quaint moraine hill remains. Rectangular barrack-like blocks are the signature of the districts Wiedikon and Aussersihl lying to the left of the Sihl. Here and there still a few old-fashioned low, cozy houses from village times, but overall cramped tenement houses, smoky, weathered, and tasteless."
Zurich_en_b41,Zurich_en,text,"We cross the left-bank lake railway, which reaches the main station in a wide arc west of Aussersihl, visit Stauffacher bridge and Sihl bridge, and gradually retreat via the busy Badenerstrasse past St. Jakob's church with 1400 seats and a large singers' podium (built in 1901) and several new school palaces, leaving the barracks area with arsenal on the right, towards Langstrasse. On Sundays there is a true pilgrimage of excursionists heading for the Zurichberg or Uetliberg, or just to stroll the streets."
Zurich_en_b42,Zurich_en,text,Zurich: In the quay grounds.
